,node,eigenvector_centrality,betweenness_centrality,degree_centrality
0,Clinton,0.37271267365934274,0.3241758241758242,0.6428571428571428
1,Trump,0.5287220527029138,0.4340659340659341,0.8571428571428571
2,Cruz,0.4499209289770292,0.3516483516483517,0.7142857142857142
3,Donald Trump,0.24169092172337925,0.0,0.21428571428571427
4,Hillary Clinton,0.16122250015464268,0.0,0.14285714285714285
5,Rubio,0.2799462040021236,0.0,0.3571428571428571
6,Obama,0.19633790645474639,0.0,0.2857142857142857
7,Bush,0.3066680458554038,0.02197802197802198,0.42857142857142855
8,Ted Cruz,0.1750306231578577,0.0,0.14285714285714285
9,Jeb,0.14940957396206614,0.0,0.14285714285714285
10,Sarah Palin,0.08046842156874023,0.0,0.07142857142857142
11,Barack Obama,0.06666029856552523,0.0,0.07142857142857142
12,John McCain,0.08046842156874023,0.0,0.07142857142857142
13,Hillary,0.06666029856552523,0.0,0.07142857142857142
14,Conway,0.09456220158912113,0.0,0.07142857142857142
